death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
kemono mahjong	Riichi Mahjong - A fun, strategic variant of the classic multiplayer game!	['Board Game', 'Card Game', 'Tabletop', 'Casual', 'Singleplayer', 'Multiplayer', 'Colorful', 'Cute', '2D', '3D', 'Puzzle', 'Turn-Based Tactics', 'Abstract', 'Artificial Intelligence', 'Cats', 'Dog', 'Funny', 'PvE', 'PvP', 'Solitaire']	['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud']
farm mania 2	Great news: Anna is back again! This time she is even more enthusiastic, active and full of great ideas! Do you want to take up farming? Then dont miss your chance! Fruits and vegetables, animals and birds, bakeries and textile factories — its all waiting for you in the brand new game Farm Mania 2 !	['Casual', 'Simulation', 'Strategy']	['Single-player']
hero and daughter+	This is the classic story of good old Ralph, the legendary hero from RPG Maker VX Ace, on his quest to defeat the diabolical Demon Lord. Ralph has been reduced to Level 1, and must rely on a cast of ladies straight out of the daydreams of the game's creator in order to succeed on his quest!	['RPG', 'Indie', 'RPGMaker', 'Anime', 'Nudity', 'JRPG']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
double dragon trilogy	A groundbreaking, uber-popular game upon its arcade debut in 1987. Double Dragon is the undisputed godfather of co-op beat ‘em up.	['Arcade', "Beat 'em up", 'Retro', 'Fighting', 'Action', 'Local Co-Op', 'Remake', 'Cult Classic', '2D', 'Side Scroller', 'Co-op', 'Classic', 'Pixel Graphics', '1980s', "1990's", 'Martial Arts', 'Old School', 'Online Co-Op', 'Co-op Campaign', 'Score Attack']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
warhammer 40,000: dawn of war ii		[]	[]
the trail: frontier challenge	Are you ready to discover the undiscovered? Are you ready to climb the tallest mountains, wear the finest clothes, and earn a fortune beyond compare? Then welcome to the New World! Welcome to The Trail: Frontier Challenge!	['Adventure', 'Indie', 'Simulation', 'Walking Simulator', 'Crafting', 'RPG', 'Multiplayer', 'Survival']	['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards']
skulls of the shogun	Enter the Samurai Afterlife and join forces with vibrant ghost-samurai warriors, magical animal monks, and mustachioed samurai generals. It's fast-paced turn-based strategy inspired by Advance Wars, and supercharged with fighting-game flare!	['Strategy', 'Indie', 'Turn-Based Strategy', 'Turn-Based', 'Comedy', 'Singleplayer', 'Tactical', 'Multiplayer', 'Turn-Based Tactics', 'Cartoony', 'Turn-Based Combat', 'Local Multiplayer', 'Funny', '2D', 'Asynchronous Multiplayer']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Steam Leaderboards', 'Commentary available', 'Remote Play on TV', 'Remote Play Together']
dracula	Dracula is ready to take over Europe and only four iconic vampire hunters can stop him, in this digital adaptation of the classic board game of deduction and gothic horror. Play locally with friends or with up to five players online. Will you be the hunter or the hunted?	['Strategy', 'Board Game', 'Horror', 'Vampire', 'Tabletop', 'Old School', 'Card Battler', 'Gothic', 'Grand Strategy', 'Atmospheric', 'Supernatural', '2D', 'Hand-drawn', 'Historical', 'Mystery', 'Retro', 'Survival', 'Tactical', 'PvP', 'Combat']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Cloud', 'Remote Play Together']
cat girl	Zirui, who lives alone, takes in a dying black cat. One rainy night the black cat suddenly 'bad-mouthed' Zirui. The next day, the black cat disappears and at the same time, a cat lady who resembles the black cat appears in Zirui's bed ......	['Visual Novel', 'Interactive Fiction', 'Dating Sim', 'LGBTQ+', 'Word Game', 'Female Protagonist', 'Casual', 'Story Rich', 'Multiple Endings', 'Text-Based', 'JRPG', 'RPG', 'Cute', 'Funny', 'First-Person', 'Anime', 'Singleplayer', '2D Platformer', 'Comedy', '2D']	['Single-player']
x3: reunion	X3: Reunion continues the epic space saga, blending deep space trading and intense real-time combat. Explore a vast universe, establish your empire, and shape the new frontier. With enhanced graphics and intricate economies, it's a journey of strategy, simulation, and interstellar intrigue.	['Space', 'Simulation', 'Strategy', 'Space Sim', 'Sci-fi', 'Sandbox', 'Economy', 'Singleplayer', 'Open World', 'Flight', 'Action', 'Trading', 'Exploration', '4X']	['Single-player', 'Captions available', 'Steam Cloud']
doom & destiny	Four nerds walk into a dungeon. It’s not a joke, it’s Doom & Destiny Advanced.	['RPG', 'JRPG', 'Comedy', 'Indie', 'Turn-Based Combat', 'Fantasy', 'Dark Humor', 'RPGMaker', '2D', 'Pixel Graphics', 'Adventure', 'Singleplayer', 'Funny', 'Turn-Based', 'Asynchronous Multiplayer', 'Anime', "1990's", 'Character Customization', 'Colorful', 'Sequel']	['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']
gunman taco truck	Gunman Taco Truck is an action-packed drive across the post-apocalypse United States to reach the safe haven of Winnipeg, Canada, where there are no taco trucks and your family’s taco business can thrive. Getting to the safe towns is hectic but your truck is armed with weapons that blast mutants into taco fillings.	['Action', 'Indie', 'Strategy', 'Pixel Graphics', 'Post-apocalyptic', '2D']	['Single-player', 'Steam Achievements']
operation flashpoint: dragon rising	Operation Flashpoint: Dragon Rising is a game about a fictitious conflict on one of the Sakhalin islands.	['FPS', 'Action', 'Tactical', 'Military', 'Open World', 'Multiplayer', 'Simulation', 'Singleplayer', 'Co-op', 'First-Person', 'Shooter', 'Realistic', 'War', 'Strategy', 'Stealth', 'Adventure', 'Walking Simulator', 'Online Co-Op', 'Atmospheric', 'Free to Play']	['Single-player', 'Partial Controller Support']
sakura angels	日本語バージョンダウンロード開始されました。Two girls, blessed with magical powers, are faced with the task of saving the lonely protagonist from the clutches of a mysterious witch and ancient evil, sealed away long ago by his ancestors. What does this sorceress want from our protagonist?	['Nudity', 'Anime', 'Mature', 'Visual Novel', 'Sexual Content', 'Dating Sim', 'Cute', 'Casual', 'Indie', 'Romance', 'Singleplayer', 'Hentai', 'Story Rich', 'Adventure', 'Memes', 'Comedy', 'Great Soundtrack', 'Simulation', 'Action', 'Atmospheric']	['Single-player', 'Steam Trading Cards']
18 wheels of steel: extreme trucker 2	Non-Stop Extreme Driving Action! Take this Job and Love It! Build your trucking empire from a single hauler to a vast network of convoys crisscrossing the globe’s most extreme roads. Can you feel the hair on your neck raise?	['Simulation', 'Automobile Sim', 'Driving', 'Singleplayer']	['Single-player']
full mojo rampage	Full Mojo Rampage is a rogue-like game that takes place within the confines of the Voodoo reality. In this realm only the most powerful rites and powers can provide a safeguard against evil. Dying is not the end, only the beginning to becoming a stronger voodoo soul!	['Action Roguelike', 'Twin Stick Shooter', 'Bullet Hell', 'Mystery Dungeon', 'Roguelite', 'Collectathon', 'Difficult', 'Party-Based RPG', 'Action RPG', 'Roguelike', 'Character Customization', 'RPG', 'Cute', 'Top-Down', '3D', 'Controller', 'Procedural Generation', 'Choices Matter', 'Action', 'Magic']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']
marine park empire	Get ready to jump in the water as you run the most exciting and wild marine park ever in the latest and greatest sea-life simulation!	['Simulation', 'Casual', 'Strategy', 'Management']	['Single-player']
rising kingdoms	Rising Kingdoms is a fantasy-themed RTS classic by Haemimont Games, originally released in 2005	['Strategy', 'RTS', 'Fantasy', 'Retro']	['Single-player', 'Shared/Split Screen PvP', 'Remote Play Together']
evoland 2	Evoland 2 is an unique RPG, with its graphic style and gameplay changing as you progress through a deep storyline based on time travel.	['RPG', 'Adventure', 'Indie', 'Action', 'Retro', 'Pixel Graphics', 'Singleplayer', 'Story Rich', '2D', 'Fantasy', 'Time Travel', 'JRPG', 'Great Soundtrack', 'Parody', 'Puzzle', 'Platformer', 'Funny', 'Action RPG', 'Comedy', 'Atmospheric']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']
vs.	Blast off in a 2D metroidvania adventure bursting with platforming thrills, deep exploration, and explosive action. Assemble a crack team of heroes to save the world in Blast Brigade!	['Difficult', 'Cartoon', 'Platformer', 'Metroidvania', 'Exploration', 'Colorful', 'Comedy', 'Cartoony', 'Cute', 'Action-Adventure', 'Atmospheric', 'Action', '2D', 'Adventure', 'Controller', 'Story Rich', 'Singleplayer', 'Side Scroller', '2D Platformer', 'Funny']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
lunar flight	A modern take on the classic arcade game, Lunar Lander, Lunar Flight extends the experience to a fully fictionalized and accessible lunar module simulator	['Simulation', 'VR', 'Space', 'Indie', 'Flight', 'Physics', 'Realistic', 'Singleplayer', 'Multiplayer', 'Difficult', 'TrackIR']	['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']
echo of the wilds	Echo of the Wilds is a puzzly narrativy adventure, featuring randomised wilderness survival. Explore and survive this mysterious tale of wilds. Gather resources to build gear and sustain yourself, learning new skills, lore and the intertwining interactions between the various areas, seasons, and weather.	['Survival', 'Roguelite', 'Crafting', 'Adventure', 'Sandbox', 'Exploration', 'Pixel Graphics', 'Open World', 'Singleplayer', 'Atmospheric', 'Replay Value', 'Indie', '2D', 'Mystery', 'Puzzle', 'Survival Horror', 'Simulation', 'Roguelike', 'Psychological Horror', 'GameMaker']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
hero of the kingdom	You, the princess, are having a small adventure outside the city walls. Meanwhile, the city is in flames, due to the attack of unknown monsters. You can’t lie idle. You must save your people, gain allies to fight by your side against evil and become a heroic princess.	['Adventure', 'Casual', 'RPG', 'Strategy', 'Point & Click', 'Exploration', 'Hidden Object', 'Colorful', 'Isometric', 'Third Person', 'Atmospheric', 'Crafting', 'Emotional', 'Fantasy', 'Fishing', 'Management', 'Medieval', 'Pirates', 'Relaxing', 'Female Protagonist']	['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']
dethkarz	You're one of the elite racers chosen to compete at exotic locations around the world and beyond. Strap yourself into a fusion-powered racing machine for an explosive and exhilarating futuristic racing experience.	['Racing', 'Action', 'Futuristic', 'Shooter', 'Cyberpunk']	['Single-player', 'Partial Controller Support']
b-17 flying fortress: world war ii bombers in action	The 1992 Classic. Experience the thrill of commanding a B-17 Flying Fortress on perilous missions during a World War II campaign. Study the briefing, choose your men, fly to the target and take control of crew members’ positions from pilot to bombardier. How well will you fare, captain?	['Flight', 'Strategy', 'Immersive Sim', 'Wargame', 'War', 'World War II', 'Military', 'First-Person', 'Action', 'Simulation', '2D', '3D', 'Historical', 'Choices Matter', 'Story Rich', 'Vehicular Combat', 'Isometric', 'Tactical', 'Retro', 'Combat']	['Single-player', 'Steam Cloud']
god's trigger	Slay enemies with speed and precision in an over-the-top show of blood and explosions. Play solo or with others, make split-second decisions, dodge bullets, and use weapons and abilities to inflict violence in the most graphic way possible.	['Action Roguelike', 'Top-Down Shooter', 'Hack and Slash', 'Twin Stick Shooter', "Shoot 'Em Up", 'Difficult', 'Fighting', 'Shooter', 'Platformer', 'Roguelike', 'Action-Adventure', '2D', '3D', 'Top-Down', '2.5D', 'Split Screen', 'Comic Book', 'Action', 'Stylized', "1990's"]	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']
ben 10	Ben, Gwen, and Grandpa Max once again have their cross-country road trip in the Rust Bucket cut short by super villains and their evil, world-threatening plans. As Ben Tennyson, it’s up to you to save the world.	['Action', 'Family Friendly', 'Cartoony', 'Adventure', 'Cartoon', 'Fighting', 'Action-Adventure', 'Character Action Game', "Beat 'em up", 'Singleplayer', 'Anime', 'Cult Classic']	['Single-player', 'Partial Controller Support']
deadly dozen: pacific theater	Penetrate the island strongholds of Japanese Imperial forces with your squad of commandos in this tactical World War II first person shooter. Stealth, a cool head and your M1 may buy you one more day. Can you survive the hard-edged intensity of the Pacific theater?	['World War II', 'Third-Person Shooter', 'Strategy', 'FPS', 'Action', 'Stealth', 'War', 'Driving', 'Shooter', '3D', 'First-Person', 'Third Person', 'Simulation', 'Combat', 'Inventory Management', 'Singleplayer']	['Single-player']
combat air patrol	Feel the power of flying the AV8B Harrier II. A middle ground flight and naval combat simulator with mission planner & fully dynamic open ended campaign. Showstopping VR.	['Early Access', 'Flight', 'VR', 'Simulation', 'Military', 'Strategy', 'Action', 'War', 'Realistic', 'Shooter', 'Open World', 'First-Person', 'Immersive Sim', 'Vehicular Combat', 'Tactical', 'Wargame', 'Jet', 'Naval', 'Combat', 'Tanks']	['Single-player', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support']
demon hunter 3: revelation	Face your own supernatural past!	['Casual', 'Adventure', 'Hidden Object', 'Point & Click', 'Female Protagonist', 'Horror', 'Mystery', 'Fantasy', 'Puzzle', 'Singleplayer', 'Story Rich', 'Atmospheric', '2D', 'Demons', 'Indie', 'Great Soundtrack', 'Family Friendly']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
